force_x_N,force_y_N,force_z_N,vibration_x_g,vibration_y_g,vibration_z_g,ae_rms_V
0.704,-0.387,-1.084,0.018,0.031,0.027,-0.004
0.772,-0.573,-1.153,-0.056,-0.057,-0.058,-0.004
0.828,-0.673,-1.242,0.037,0.019,0.031,-0.004
0.866,-0.601,-1.311,-0.028,-0.027,-0.022,-0.004
0.91,-0.377,-1.341,-0.05,-0.049,-0.058,-0.004
0.896,-0.095,-1.333,0.022,0.036,0.017,-0.004
0.91,0.239,-1.27,-0.062,-0.038,-0.047,-0.004
0.9,0.614,-1.209,-0.089,-0.067,-0.07,-0.004
0.879,0.974,-1.137,-0.028,-0.009,0.003,-0.004
0.906,1.291,-1.047,-0.093,-0.082,-0.072,-0.004
0.832,1.496,-1.039,-0.046,-0.048,-0.04,-0.004
0.785,1.567,-1.021,0.01,0.016,0.021,-0.004
0.66,1.552,-1.033,-0.088,-0.088,-0.106,-0.003
0.593,1.513,-1.027,-0.042,-0.04,-0.056,-0.004
0.461,1.513,-1.007,-0.024,-0.004,-0.012,-0.004
0.386,1.524,-0.965,-0.09,-0.072,-0.089,-0.004
0.305,1.509,-0.911,0.097,0.102,0.1,-0.004
0.262,1.522,-0.784,-0.056,-0.041,-0.038,-0.004
0.171,1.618,-0.653,-0.07,-0.061,-0.072,-0.004
0.102,1.771,-0.46,-0.034,-0.027,-0.03,-0.004
0.014,1.905,-0.264,-0.064,-0.045,-0.054,-0.004
-0.109,1.888,-0.096,-0.023,-0.021,-0.026,-0.004
-0.218,1.773,0.065,-0.057,-0.058,-0.037,-0.004
-0.347,1.675,0.185,-0.025,-0.025,-0.019,-0.003
-0.476,1.625,0.251,0.051,0.039,0.045,-0.003
-0.547,1.543,0.298,-0.089,-0.114,-0.088,-0.004
-0.644,1.421,0.351,-0.013,-0.027,-0.027,-0.004
-0.696,1.26,0.365,0.001,-0.012,-0.021,-0.004
-0.713,1.139,0.399,-0.103,-0.097,-0.096,-0.004
-0.683,1.111,0.431,0.007,0.015,0.002,-0.004
-0.621,1.166,0.452,-0.085,-0.078,-0.09,-0.003
-0.567,1.175,0.509,-0.081,-0.079,-0.082,-0.003
-0.485,1.199,0.521,-0.02,-0.021,-0.033,-0.004
-0.407,1.16,0.584,-0.107,-0.116,-0.111,-0.004
-0.392,1.098,0.603,0.005,-0.004,0.003,-0.004
-0.384,1.11,0.617,-0.033,-0.047,-0.052,-0.004
-0.416,1.09,0.632,-0.019,-0.04,-0.025,-0.004
-0.458,1.091,0.61,-0,-0.022,-0.008,-0.004
-0.456,1.059,0.593,-0.009,-0.047,-0.046,-0.004
-0.457,0.988,0.599,0.007,-0.031,-0.009,-0.004
-0.471,1.032,0.615,-0.021,-0.051,-0.033,-0.003
-0.447,1.097,0.586,-0.026,-0.041,-0.042,-0.004
-0.374,1.215,0.587,0.013,0.009,0.012,-0.004
-0.34,1.29,0.585,-0.107,-0.101,-0.116,-0.003
-0.266,1.386,0.573,-0.001,-0.002,-0.013,-0.004
-0.258,1.544,0.563,0.036,0.027,0.038,-0.004
-0.224,1.819,0.6,-0.082,-0.091,-0.099,-0.004
-0.231,2.002,0.59,0.077,0.069,0.067,-0.004
-0.317,2.123,0.533,-0.011,-0.005,-0.006,-0.004
-0.422,2.287,0.487,-0.042,-0.044,-0.052,-0.003
-0.533,2.395,0.418,0.042,0.025,0.026,-0.004
-0.635,2.504,0.353,0.022,0.01,0.007,-0.004
-0.73,2.593,0.307,-0.017,-0.035,-0.049,-0.004
-0.788,2.61,0.309,-0.022,-0.039,-0.037,-0.003
-0.815,2.615,0.292,0.013,0.007,-0.001,-0.004
-0.807,2.662,0.299,-0.059,-0.074,-0.075,-0.004
-0.799,2.688,0.338,-0.041,-0.049,-0.032,-0.004
-0.806,2.75,0.358,-0.002,0.006,0.018,-0.004
-0.828,2.833,0.386,-0.073,-0.064,-0.071,-0.004
-0.813,2.948,0.382,-0.059,-0.048,-0.051,-0.004
-0.825,3.028,0.394,0.004,0.019,-0.003,-0.004
-0.857,3.067,0.384,-0.021,-0.012,-0.039,-0.004
-0.93,3.009,0.335,0.017,0.014,0.007,-0.003
-0.975,2.981,0.315,0.038,0.022,0.02,-0.004
-1.007,2.845,0.29,0.054,0.037,0.035,-0.004
-1.003,2.649,0.318,-0.024,-0.032,-0.036,-0.004
-0.967,2.442,0.337,0.009,0.01,-0.003,-0.004
-0.93,2.213,0.382,0.048,0.06,0.039,-0.004
-0.861,2.043,0.393,-0.094,-0.08,-0.097,-0.004
-0.784,1.909,0.478,0.023,0.028,0.019,-0.004
-0.707,1.857,0.562,-0.025,-0.036,-0.012,-0.004
-0.679,1.785,0.584,-0.112,-0.128,-0.104,-0.004
